grapheme	phoneme
ประมาณ	p r a ˨˩ . m aː n ˧
งูกินหนูจนงูงงงวย	ŋ uː ˧ . k i n ˧ . n uː ˩˩˦ . t͡ɕ o n ˧ . ŋ uː ˧ . ŋ o ŋ ˧ . ŋ ua̯j ˧
พรุน	pʰ r u n ˧
ประเดิม	p r a ˨˩ . d ɤː m ˧
การแบ่ง	k aː n ˧ . b ɛ ŋ ˨˩
สระเอ	s a ˨˩ . r a ˨˩ . ʔ eː ˧
พาล	pʰ aː n ˧
ทรชนาธิปไตย	tʰ ɔː ˧ . r a ˦˥ . t͡ɕʰ a ˦˥ . n aː ˧ . tʰ i ˦˥ . p a ˨˩ . t aj ˧
การแจกแจง	k aː n ˧ . t͡ɕ ɛː k̚ ˨˩ . t͡ɕ ɛː ŋ ˧
วาร	w aː ˧ . r a ˦˥ .
ประจุไฟฟ้า	p r a ˨˩ . t͡ɕ u ˨˩ . f aj ˧ . f aː ˦˥
ทึกทัก	tʰ ɯ k̚ ˦˥ . tʰ a k̚ ˦˥
น่ารังเกียจ	n aː ˥˩ . r a ŋ ˧ . k ia̯ t̚ ˨˩
คริสต์	kʰ r i s ˦˥
บิดา	b i ˨˩ . d aː ˧
โซน	s oː n ˧
ขำขัน	kʰ a m ˩˩˦ . kʰ a n ˩˩˦
อวกาศ	ʔ a ˨˩ . w a ˦˥ . k aː t̚ ˨˩ . s a ˨˩ .
อาโวคาโด	ʔ aː ˧ . w oː ˧ . kʰ aː ˧ . d oː ˥˩
ข้อ	kʰ ɔː ˥˩
ไหม	m aj ˩˩˦
เดิน	d ɤː n ˧
เพ้อฝัน	pʰ ɤː ˦˥ . f a n ˩˩˦
ข้อบังคับ	kʰ ɔː ˥˩ . b a ŋ ˧ . kʰ a p̚ ˦˥
หายใจ	h aːj ˩˩˦ . t͡ɕ aj ˧
คานหาม	kʰ aː n ˧ . h aː m ˩˩˦
สะพัง	s a ˨˩ . pʰ a ŋ ˧
เล่าจื๊อ	l aw ˥˩ . t͡ɕ ɯː ˦˥
กอก	k ɔː k̚ ˨˩
ตัก	t a k
ที	tʰ i
ความแทรก	kʰ w aː m ˧ . s ɛː k̚ ˥˩
หนวด	n ua̯ t̚ ˨˩
พร	pʰ ɔː n ˧
หมายหมั้น	m aːj ˩˩˦ . m a n ˥˩
ปล่อยวาง	p l ɔj ˨˩ . w aː ŋ ˧
เกลี้ยง	k l ia̯ ŋ ˥˩
ซิลิคอน	s i ˦˥ . l i ˦˥ . kʰ ɔ n ˥˩
บิดเบือน	b i t̚ ˨˩ . b ɯa̯ n ˧
หม้อหุงข้าว	m ɔː ˥˩ . h u ŋ ˩˩˦ . kʰ aːw ˥˩
แปลง	p l ɛː ŋ ˧
เอเชีย	ʔ eː ˧ . t͡ɕʰ ia̯ ˧
แท้จริง	tʰ ɛː ˦˥ . t͡ɕ i ŋ ˧
ดำ	d a m ˧
ตาราง	t aː ˧ . r aː ŋ ˧
นักมวย	n a k̚ ˦˥ . m ua̯j ˧
โดน	d oː n ˧
ฆ่าฟัน	kʰ aː ˥˩ . f a n ˧
แหงน	ŋ ɛː n ˩˩˦
ข้าวสวย	kʰ aːw ˥˩ . s ua̯j ˩˩˦
บัลแกเรีย	b a l ˧ . k ɛː ˧ . r ia̯ ˧
ปโรหิต	p a ˨˩ . r oː ˧ . h i t̚ ˨˩
เหน็บหนาว	n e p̚ ˨˩ . n aːw ˩˩˦
สารพัด	s aː ˩˩˦ . r a ˦˥ . pʰ a t̚ ˦˥
ขจี	kʰ a ˨˩ . t͡ɕ iː ˧
รองพื้น	r ɔː ŋ ˧ . pʰ ɯː n ˦˥
วิสรรชนีย์	w i ˦˥ . s a n ˩˩˦ . t͡ɕʰ a ˦˥ . n iː ˧
เยี่ยว	j ia̯w ˥˩
เฟื่องฟ้า	f ɯa̯ ŋ ˥˩ . f aː ˦˥
เอเคอร์	ʔ eː ˧ . kʰ ɤː ˥˩
ความชอบธรรม	kʰ w aː m ˧ . t͡ɕʰ ɔː p̚ ˥˩ . tʰ a m ˧
บิ๊ว	b iw ˦˥
บัย	b aj ˧
แมรี	m ɛː ˧ . r iː ˥˩
วิลิศมาหรา	w i ˦˥ . l i t̚ ˦˥ . s a ˨˩ . m aː ˧ . r aː ˩˩˦
เขามอ	kʰ aw ˩˩˦ . m ɔː ˧
มาตาธิปไตย	m aː ˧ . t aː ˧ . tʰ i ˦˥ . p a ˨˩ . t aj ˧
คราส	kʰ r aː t̚ ˥˩
ทรมาน	tʰ ɔː ˧ . r a ˦˥ . m aː n ˧
ความรักชาติ	kʰ w aː m ˧ . r a k̚ ˦˥ . t͡ɕʰ aː t̚ ˥˩
ออกกำลัง	ʔ ɔː k̚ ˨˩ . k a m ˧ . l a ŋ ˧
ปัตตานี	p a t̚ ˨˩ . t aː ˧ . n iː ˧
เรียม	r ia̯ m ˧
ภมุ	pʰ a ˦˥ . m u ʔ ˦˥
แป๊ะ	p ɛʔ ˦˥
ลียง	l iː ˧ . j o ŋ ˧
ดอย	d ɔːj ˧
เกรียม	k r ia̯ m ˧
ลูกขุน	l uː k̚ ˥˩ . kʰ u n ˩˩˦
มิ	m i ʔ ˦˥
เครย์ฟิช	kʰ r eː ˧ . f i t͡ɕʰ ˦˥
ขาล	kʰ aː n ˩˩˦
สัณฑ์	s a n ˩˩˦
เขย่ง	kʰ a ˨˩ . j e ŋ ˨˩
พุทธ	pʰ u t̚ ˦˥ . tʰ a ˦˥ .
สาหัส	s aː ˩˩˦ . h a t̚ ˨˩
กริยาวิเศษณ์	k a ˨˩ . r i ˦˥ . j aː ˧ . w i ˦˥ . s eː t̚ ˨˩
ผ้าใบ	pʰ aː ˥˩ . b aj ˧
ฟุต	f u t̚ ˦˥
ฝัน	f a n ˩˩˦
อควอเรี่ยม	ʔ a ˨˩ . kʰ w ɔː ˧ . r ia̯ m ˥˩
กม	k o m ˧
ดาด	d aː t̚ ˨˩
โคบอลต์	kʰ oː ˧ . b ɔ l ˦˥
กุย	k uj ˧
พิพากษา	pʰ i ˦˥ . pʰ aː k̚ ˥˩ . s aː ˩˩˦
บุคลิกลักษณะ	b u k̚ ˨˩ . kʰ a ˦˥ . l i k̚ ˦˥ . k a ˨˩ . l a k̚ ˦˥ . s a ˨˩ . n aʔ ˨˩
แอสทาทีน	ʔ ɛː s ˦˥ . tʰ aː ˧ . tʰ iː n ˧
ลำใส้	l a m ˧ . s aj ˥˩
ดอกทอง	d ɔː k̚ ˨˩ . tʰ ɔː ŋ ˧
ส.ค.ส.	s ɔː ˩˩˦ . kʰ ɔː ˧ . s ɔː ˩˩˦
หน่อไม้ฝรั่ง	n ɔː ˨˩ . m aːj ˦˥ . f a ˨˩ . r a ŋ ˨˩
เครื่องวัดอุณหภูมิ	kʰ rɯ a̯ ŋ ˥˩ . w a t̚ ˦˥ . ʔ u n ˧ . h a ˨˩ . pʰ uː m ˧
เว้น	w e n ˦˥
ชาอูหลง	t͡ɕʰ aː ˧ . ʔ uː ˧ . l o ŋ ˩˩˦
วัวลืมตีน	w ua̯ ˧ . lɯː m ˧ . t iː n ˧
เทศมนตรี	tʰ eː t̚ ˥˩ . s a ˨˩ . m o n ˧ . t r iː ˧
โป๊ยกั้ก	p oːj ˦˥ . k a k̚ ˥˩
ฉวย	t͡ɕʰ ua̯j ˩˩˦
การบวก	k aː n ˧ . b ua̯ k̚ ˨˩
ของโจร	kʰ ɔː ŋ ˩˩˦ . t͡ɕ oː n ˧
ความสำเร็จ	kʰ w aː m ˧ . s a m ˩˩˦ . r e t̚ ˨˩
ปิติ	p i ˨˩ . t i ʔ ˨˩
มะตะบะ	m a ˦˥ . t a ˨˩ . b aʔ ˨˩
ธน	tʰ o n ˧
พลาสติก	pʰ l aː t̚ ˦˥ . s a ˨˩ . t i k̚ ˨˩
มาลี	m aː ˧ . l iː ˧
วุฒิสมาชิก	w u t̚ ˦˥ . tʰ i ˦˥ . s a ˨˩ . m aː ˧ . t͡ɕʰ i k̚ ˦˥
แต่งตั้ง	t ɛ ŋ ˨˩ . t a ŋ ˥˩
แอ	ʔ ɛː ˧
หิมะ	h i ˨˩ . m aʔ ˦˥
นักวิทยาศาสตร์	n a k̚ ˦˥ . w i t̚ ˦˥ . tʰ a ˦˥ . j aː ˧ . s aː t̚ ˨˩
ทุกที	tʰ u k̚ ˦˥ . tʰ iː ˧
วีดีโอ	w iː ˧ . d iː ˧ . ʔ oː ˧
การฉ้อราษฎร์บังหลวง	k aː n ˧ . t͡ɕʰ ɔː ˥˩ . r aː t̚ ˥˩ . b a ŋ ˧ . l ua̯ ŋ ˩˩˦
คอสตาริกา	kʰ ɔ s ˦˥ . t aː ˧ . r i ˦˥ . k aː ˥˩
ก่อ	k ɔː ˨˩
สหกรณ์	s a ˨˩ . h a ˨˩ . k ɔː n ˧
กระเป๋า	k r a ˨˩ . p aw ˩˩˦
หัวร้อน	h ua̯ ˩˩˦ . r ɔː n ˦˥
โรฮีนจา	r oː ˧ . h iː n ˧ . t͡ɕ aː ˧
ภาคินี	pʰ aː ˧ . kʰ i ˦˥ . n iː ˧
หน่วยคำ	n ua̯j ˨˩ . kʰ a m ˧
โดโดมา	d oː ˧ . d oː ˧ . m aː ˧
ปล่อย	p l ɔj ˨˩
ซาโมวาร์	s aː ˧ . m oː ˧ . w aː ˧
ผ้าขนหนู	pʰ aː ˥˩ . kʰ o n ˩˩˦ . n uː ˩˩˦
อริยมรรค	ʔ a ˨˩ . r i ˦˥ . j a ˦˥ . m a k̚ ˦˥
สุเมธ	s u ˨˩ . m eː t̚ ˥˩
เหนือเกล้าเหนือกระหม่อม	n ɯa̯ ˩˩˦ . k l aːw ˥˩ . n ɯa̯ ˩˩˦ . k r a ˨˩ . m ɔ m ˨˩
สมอพิเภก	s a ˨˩ . m ɔː ˩˩˦ . pʰ i ˦˥ . pʰ eː k̚ ˥˩
นาฬิกาอะตอม	n aː ˧ . l i ˦˥ . k aː ˧ . ʔ a ˨˩ . t ɔ m ˧
กระบือ	k r a ˨˩ . b ɯː ˧
ถาด	tʰ aː t̚ ˨˩
น้ำมันพราย	n aː m ˦˥ . m a n ˧ . pʰ r aːj ˧
วินาศ	w i ˦˥ . n aː t̚ ˥˩
เจือจาง	t͡ɕ ɯa̯ ˧ . t͡ɕ aː ŋ ˧
บรรทุก	b a n ˧ . tʰ u k̚ ˦˥
โสมม	s oː ˩˩˦ . m o m ˧
เคส	kʰ eː s ˦˥
กระเรียน	k r a ˨˩ . r ia̯ n ˧
การนัดหยุดงาน	k aː n ˧ . n a t̚ ˦˥ . j u t̚ ˨˩ . ŋ aː n ˧
รัฐประหาร	r a t̚ ˦˥ . tʰ a ˨˩ . p r a ˨˩ . h aː n ˩˩˦
นิวยอร์กซิตี	n iw ˧ . j ɔː k̚ ˨˩ . s iː ˧ . t iː ˥˩
ชานกำแพง	t͡ɕʰ aː n ˧ . k a m ˧ . pʰ ɛː ŋ ˧
เซลฟี	s eː l ˧ . f iː ˥˩
ศาลยุติธรรมระหว่างประเทศ	s aː n ˩˩˦ . j u t̚ ˦˥ . t i ˨˩ . tʰ a m ˧ . r a ˦˥ . w aː ŋ ˨˩ . p r a ˨˩ . tʰ eː t̚ ˥˩
อับ	ʔ a p̚ ˨˩
ผัวะ	pʰ ua̯ʔ ˨˩
บ้องแบ๊ว	b ɔ ŋ ˥˩ . b ɛw ˦˥
ธูป	tʰ uː p̚ ˥˩
วิสามานยนาม	w i ˦˥ . s aː ˩˩˦ . m aː n ˧ . j a ˦˥ . n aː m ˧
ความเฉื่อย	kʰ w aː m ˧ . t͡ɕʰ ɯa̯ j ˨˩
ยุ	j u ʔ ˦˥
ความคิดสร้างสรรค์	kʰ w aː m ˧ . kʰ i t̚ ˦˥ . s aː ŋ ˥˩ . s a n ˩˩˦
หล่น	l o n ˨˩
แมงมุม	m ɛː ŋ ˧ . m u m ˧
ช่องบาดาล	t͡ɕʰ ɔ ŋ ˥˩ . b aː ˧ . d aː n ˧
กรินทร์	k a ˨˩ . r i n ˧
แหวก	w ɛː k̚ ˨˩
บรรณานุกรม	b a n ˧ . n aː ˧ . n u ˦˥ . k r o m ˧
มิถุนายน	m i ˦˥ . tʰ u ˨˩ . n aː ˧ . j o n ˧ . n a ˦˥ .
ปิศาจ	p i ˨˩ . s aː t̚ ˨˩
เต้าทึง	t aw ˥˩ . tʰ ɯ ŋ ˧
สตรอว์เบอร์รี่	s a ˨˩ . t r ɔː ˧ . b ɤː ˧ . r iː ˥˩
เฟอร์รี	f ɤː ˧ . r iː ˧
ขอบคุณ	kʰ ɔː p̚ ˨˩ . kʰ u n ˧
แพะรับบาป	pʰ ɛʔ ˦˥ . r a p̚ ˦˥ . b aː p̚ ˨˩
อธิฐาน	ʔ a ˨˩ . tʰ i ˦˥ . tʰ aː n ˩˩˦
ชิวหา	t͡ɕʰ iw ˧ . h aː ˩˩˦
ไอโอดีน	ʔ aj ˧ . ʔ oː ˧ . d iː n ˧
ทุกหย่อมหญ้า	tʰ u k̚ ˦˥ . j ɔ m ˨˩ . j aː ˥˩
เซลล์แสงอาทิตย์	s eː l ˧ . s ɛː ŋ ˩˩˦ . ʔ aː ˧ . tʰ i t̚ ˦˥
สัทอักษร	s a t̚ ˨˩ . tʰ a ˦˥ . ʔ a k̚ ˨˩ . s ɔː n ˩˩˦
รุกราน	r u k̚ ˦˥ . r aː n ˧
โคลน	kʰ l oː n ˧
ระแวง	r a ˦˥ . w ɛː ŋ ˧
ล้างสมอง	l aː ŋ ˦˥ . s a ˨˩ . m ɔː ŋ ˩˩˦
สรณังกร	s a ˨˩ . r a ˦˥ . n a ŋ ˧ . k ɔː n ˧
น้ำแข็งใส	n a m ˦˥ . kʰ ɛ ŋ ˩˩˦ . s aj ˩˩˦
แปด	p ɛː t̚ ˨˩
ช้า	t͡ɕʰ aː ˦˥
ประเทียบ	p r a ˨˩ . tʰ ia̯ p̚ ˥˩
สันดาน	s a n ˩˩˦ . d aː n ˧
อุปมานิทัศน์	ʔ u p̚ ˨˩ . p a ˨˩ . m aː ˧ . n i ˦˥ . tʰ a t̚ ˦˥
เซ็นเซอร์	s e n ˧ . s ɤː ˥˩
ภัยแล้ง	pʰ aj ˧ . l ɛː ŋ ˦˥
เกือกม้า	k ɯa̯ k̚ ˨˩ . m aː ˦˥
เขา	kʰ aw ˩˩˦
บางคน	b aː ŋ ˧ . kʰ o n ˧
เลอเวือะ	l ɤː ˧ . w ɯa̯ʔ ˦˥
เพชร	pʰ e t̚ ˦˥ .
สาม	s aː m ˩˩˦
สลาย	s a ˨˩ . l aːj ˩˩˦
ทันสมัย	tʰ a n ˧ . s a ˨˩ . m aj ˩˩˦
ไอเสีย	ʔ aj ˧ . s ia̯ ˩˩˦
พ่อมด	pʰ ɔː ˥˩ . m o t̚ ˦˥
ปริยาย	p a ˨˩ . r i ˦˥ . j aːj ˧
แปรอักษร	p r ɛː ˧ . ʔ a k̚ ˨˩ . s ɔː n ˩˩˦
ประวัติการ	p r a ˨˩ . w a t̚ ˨˩ . t i ˨˩ . k aː n ˧
ปัง	p a ŋ
สีสรร	s iː ˩˩˦ . s a n ˩˩˦
เถร	tʰ eː ˩˩˦ . r a ˦˥ .
ไข่มุก	kʰ aj ˨˩ . m u k̚ ˦˥
เฟค	f eː k̚ ˦˥
การบริการ	k aː n ˧ . b ɔː ˧ . r i ˦˥ . k aː n ˧
ทาตุ	tʰ aː t̚ ˥˩
ดอกไม้เพลิง	d ɔː k̚ ˨˩ . m aːj ˦˥ . pʰ l ɤː ŋ ˧
ฝาด	f aː t̚ ˨˩
กฎหมายเหตุ	k o t̚ ˨˩ . m aːj ˩˩˦ . h eː t̚ ˨˩
ยาแดง	j aː ˧ . d ɛː ŋ ˧
สรณังกร	s ɔː ˩˩˦ . r a ˦˥ . n a ŋ ˧ . k ɔː n ˧
รติไฟ	r a ˦˥ . t i ˨˩ . f aːj ˧
จาบ	t͡ɕ aː p̚ ˨˩
หมื่นนคร	m ɯː n ˨˩ . n a ˦˥ . kʰ ɔː n ˧
แช่แข็ง	t͡ɕʰ ɛː ˥˩ . kʰ ɛ ŋ ˩˩˦
ขัดข้อง	kʰ a t̚ ˨˩ . kʰ ɔ ŋ ˥˩
พอ	pʰ ɔː ˧
ตรีทูต	t r iː ˧ . tʰ uː t̚ ˥˩
การเผา	k aː n ˧ . pʰ aw ˩˩˦
ซิการ์	s i ˦˥ . k aː ˥˩
โกเมน	k oː ˧ . m eː n ˧
แซะ	s ɛʔ ˦˥
เถ้าแก่	tʰ aw ˥˩ . k ɛː ˨˩
ผู้เห็นเหตุการณ์	pʰ uː ˥˩ . h e n ˩˩˦ . h eː t̚ ˨˩ . k aː n ˧
ดง	d o ŋ ˧
ลพบุรีย	l o p̚ ˦˥ . b u ˨˩ . r iː ˧
โพ้นทะเล	pʰ oː n ˦˥ . tʰ a ˦˥ . l eː ˧
จัดไป	t͡ɕ a t̚ ˨˩ . p aj ˧
กมรเตงอัญ	k a ˨˩ . m a ˦˥ . r a ˦˥ . t e ŋ ˧ . ʔ a n ˧
สืบพันธุ์	s ɯː p̚ ˨˩ . pʰ a n ˧
ตาสีตาสา	t aː ˧ . s iː ˩˩˦ . t aː ˧ . s aː ˩˩˦
รัตน	r a t̚ ˦˥ . t a ˨˩ . n a ˦˥ .
สถานที่	s a ˨˩ . tʰ aː n ˩˩˦ . tʰ iː ˥˩
นาฬิกาปลุก	n aː ˧ . l i ˦˥ . k aː ˧ . p l u k̚ ˨˩
กฎหมายมนุษยธรรมระหว่างประเทศ	k o t̚ ˨˩ . m aːj ˩˩˦ . m a ˦˥ . n u t̚ ˦˥ . s a ˨˩ . j a ˦˥ . tʰ a m ˧ . r a ˦˥ . w aː ŋ ˨˩ . p r a ˨˩ . tʰ eː t̚ ˥˩
พาณิชย์	pʰ aː ˧ . n i t̚ ˦˥
ม้าม	m aː m ˦˥
ติมอร์	t i ˨˩ . m ɔː ˧
ทัพไชย	tʰ a p̚ ˦˥ . t͡ɕʰ aj ˧
ต่อว่า	t ɔː ˨˩ . w aː ˥˩
โทส	tʰ oː t̚ ˥˩
ปั้น	p a n ˥˩
เศร้าโศก	s aw ˥˩ . s oː k̚ ˨˩
ปฏิวัติ	p a ˨˩ . t i ˧ . w a t̚ ˦˥
กระต๊อบ	k r a ˨˩ . t ɔ p̚ ˦˥
ยาหยี	j aː ˧ . j iː ˩˩˦
เครื่องหมายวรรคตอน	kʰ rɯ a̯ ŋ ˥˩ . m aːj ˩˩˦ . w a k̚ ˦˥ . t ɔː n ˧
คาน	kʰ aː n ˧
ชัยฏอน	t͡ɕʰ aj ˧ . t ɔː n ˧
กาง	k aː ŋ ˧
ใหญ่	j aj ˨˩
เจดีย์	t͡ɕ eː ˧ . d iː ˧
วิญญู	w i n ˧ . j uː ˧
น้ำชา	n aː m ˦˥ . t͡ɕʰ aː ˧
ไอ้สัตว์กูขำ	ʔ aj ˥˩ . s a t̚ ˨˩ . k uː ˧ . kʰ a m ˩˩˦
เว็บแคม	w e p̚ ˦˥ . kʰ ɛ m ˧
ระยอง	r a ˦˥ . j ɔː ŋ ˧
ญาณ	j aː n ˧
หนุมานถวายแหวน	h a ˨˩ . n u ˦˥ . m aː n ˧ . tʰ a ˨˩ . w aːj ˩˩˦ . w ɛː n ˩˩˦
ฮะเก๋า	h a ˦˥ . k aw ˩˩˦
หลุม	l u m ˩˩˦
กันดาร	k a n ˧ . d aː n ˧ .
วางใจ	w aː ŋ ˧ . t͡ɕ aj ˧
แตงเม	t ɛː ŋ ˧ . m eː ˧
ซีดี	s i d i
หยุมหยิม	j u m ˩˩˦ . j i m ˩˩˦
อาการนาม	ʔ aː ˧ . k aː ˧ . r a ˦˥ . n aː m ˧
ตูด	t uː t̚ ˨˩
นินจา	n i n ˧ . t͡ɕ aː ˧
นาวิก	n aː ˧ . w i k̚ ˦˥
ความบริบูรณ์	kʰ w aː m ˧ . b ɔː ˧ . r i ˦˥ . b uː n ˧
ป่น	p o n ˨˩
ค้อน	kʰ ɔː n ˦˥
อารี	ʔ a r i
แนะนำ	n ɛʔ ˦˥ . n a m ˧
ไดร์	d aj ˧
ห้องปิดตาย	h ɔ ŋ ˥˩ . p i t̚ ˨˩ . t aːj ˧
เบียด	b ia̯ t̚ ˨˩
ติ่ง	t i ŋ ˨˩
ปิยทัสสี	p i ˨˩ . j a ˦˥ . tʰ a t̚ ˦˥ . s iː ˩˩˦
ข้อแม้	kʰ ɔː ˥˩ . m ɛː ˦˥
อลูมิเนียม	ʔ a ˨˩ . l uː ˧ . m i ˦˥ . n ia̯ m ˧
ผูก	pʰ uː k̚ ˨˩
รธน.	r ɔː ˧ . tʰ ɔː ˧ . n ɔː ˧
ยาถ่าย	j aː ˧ . tʰ aːj ˨˩
ตัวละคร	t ua̯ ˧ . l a ˦˥ . kʰ ɔː n ˧
ความปกครอง	kʰ w aː m ˧ . p o k̚ ˨˩ . kʰ r ɔː ŋ ˧
น้ำมันพราย	n a m ˦˥ . m a n ˧ . pʰ r aːj ˧
แหลก	l ɛː k̚ ˨˩
หลังจาก	l a ŋ ˩˩˦ . t͡ɕ aː k̚ ˨˩
สแกนเดียม	s a ˨˩ . k ɛː n ˧ . d ia̯ m ˥˩
พิธีการ	pʰ i ˦˥ . tʰ iː ˧ . k aː n ˧
สายเปย์	s aːj ˩˩˦ . p eː ˧
คางคกขึ้นวอ	kʰ aː ŋ ˧ . kʰ o k̚ ˦˥ . kʰ ɯ n ˥˩ . w ɔː ˧
กังไส	k a ŋ ˧ . s aj ˩˩˦
ฝรั่ง	f a ˦˥ . r a ŋ ˨˩
เถาปั๊ว	tʰ aw ˩˩˦ . p ua̯ ˦˥
ชาแดง	t͡ɕʰ aː ˧ . d ɛː ŋ ˧
สำแดง	s a m ˩˩˦ . d ɛː ŋ ˧
งอ	ŋ ɔ
ดึง	ɗ ɨ ŋ
พันธ	pʰ a n ˧ . tʰ a ˦˥ .
ล่ำสัน	l a m ˥˩ . s a n ˩˩˦
สี่เหลี่ยมคางหมู	s iː ˨˩ . l ia̯ m ˨˩ . kʰ aː ŋ ˧ . m uː ˩˩˦
คลิตอริส	kʰ l i ˦˥ . t ɔː ˧ . r i t̚ ˦˥
แฟบ	f ɛ p̚ ˥˩
ลือชา	lɯː ˧ . t͡ɕʰ aː ˧
อุตส่าห์	ʔ u t̚ ˨˩ . s aː ˨˩
ไม้ประดับ	m aj ˦˥
การบังคับใช้	k aː n ˧ . b a ŋ ˧ . kʰ a p̚ ˦˥ . t͡ɕʰ aj ˦˥
โรคทางจิต	r oː k̚ ˥˩ . tʰ aː ŋ ˧ . t͡ɕ i t̚ ˨˩
เรขาคณิต	r eː ˧ . kʰ aː ˩˩˦ . kʰ a ˦˥ . n i t̚ ˦˥
ออกเสียง	ʔ ɔː k̚ ˨˩ . s ia̯ ŋ ˩˩˦
สุด	s u t̚ ˨˩
แซ	s ɛː
ถวายพระพร	tʰ a ˨˩ . w aːj ˩˩˦ . pʰ r a ˦˥ . pʰ ɔː n ˧
ปัจฉิมบท	p a t̚ ˨˩ . t͡ɕʰ i m ˩˩˦ . m a ˦˥ . b o t̚ ˨˩
จิ้งจอก	t͡ɕ i ŋ ˥˩ . t͡ɕ ɔː k̚ ˨˩
นครพนม	n a ˦˥ . kʰ ɔː n ˧ . pʰ a ˦˥ . n o m ˧
เทศบาล	tʰ eː t̚ ˥˩ . s a ˨˩ . b aː n ˧
ปรากฎการณ์	p r aː ˧ . k o t̚ ˨˩ . k aː n ˧
ควีน	kʰ w iː n ˧
เยื่อ	j ɯa̯ ˥˩
อากาศยานต่อสู้ไร้คนขับ	ʔ aː ˧ . k aː t̚ ˨˩ . s a ˨˩ . j aː n ˧ . t ɔː ˨˩ . s uː ˥˩ . r aj ˦˥ . kʰ o n ˧ . kʰ a p̚ ˨˩
สมองตาย	s a ˨˩ . m ɔː ŋ ˩˩˦ . t aːj ˧
สมทบ	s o m ˩˩˦ . tʰ o p̚ ˦˥
ภูมิแพ้	pʰ uː m ˧ . pʰ ɛː ˦˥
รวมมิตร	r ua̯ m ˧ . m i t̚ ˦˥
อาณาจักร	ʔ aː ˧ . n aː ˧ . t͡ɕ a k̚ ˨˩
ซ่าหริ่ม	s aː ˥˩ . r i m ˨˩
วณิพก	w a ˦˥ . n i p̚ ˦˥ . pʰ o k̚ ˦˥
มัสกัต	m a s ˦˥ . k a t̚ ˨˩
การพยายาม	k aː n ˧ . pʰ a ˦˥ . j aː ˧ . j aː m ˧
ก.พ.	k ɔː ˧ . pʰ ɔː ˧
ผนัง	pʰ a ˨˩ . n a ŋ ˩˩˦
ผิดปกติ	pʰ i t̚ ˨˩ . p o k̚ ˨˩ . k a ˨˩ . t i ʔ ˨˩
ภูเขาไฟ	pʰ uː ˧ . kʰ aw ˩˩˦ . f aj ˧
ไต	t aj ˧
เลขาธิการ	l eː ˧ . kʰ aː ˩˩˦ . tʰ i ˦˥ . k aː n ˧
แหกขี้ตา	h ɛː k̚ ˨˩ . kʰ iː ˥˩ . t aː ˧
เสนียด	s a ˨˩ . n ia̯ t̚ ˨˩
ไซปรัส	s aj ˧ . p r a t̚ ˦˥
มฤตยู	m a ˦˥ . rɯ t̚ ˦˥ . t a ˨˩ . j uː ˧
วิญญาณ	w i n ˧ . j aː n ˧
นั่ง	n a ŋ ˥˩
รัฐบาล	r a t̚ ˦˥ . tʰ a ˨˩ . b aː n ˧
พ.ค.	pʰ ɔː ˧ . kʰ ɔː ˧
อุทาน	ʔ u ˨˩ . tʰ aː n ˧
สถานะ	s a ˨˩ . tʰ aː ˩˩˦ . n aʔ ˦˥
อินซูลิน	ʔ i n ˧ . s uː ˧ . l i n ˧
ท้องฟ้าจำลอง	tʰ ɔː ŋ ˦˥ . f aː ˦˥ . t͡ɕ a m ˧ . l ɔː ŋ ˧
เมื่อย	m ɯa̯ j ˥˩
กมรเตงอัญ	k a m ˧ . m a ˦˥ . r a ˦˥ . t e ŋ ˧ . ʔ a n ˧
มังกร	m a ŋ ˧ . k ɔː n ˧
แปล	p l ɛː ˧
เช็กบิล	t͡ɕʰ e k̚ ˦˥ . b i n ˧
เซลเซียส	s e l ˧ . s ia̯ s ˥˩
นางรม	n aː ŋ ˧ . r o m ˧
ตะกร้า	t a ˨˩ . k r aː ˥˩
แคล	kʰ ɛː l ˧
เก็บ	k e p̚ ˨˩
ความเหี้ยมโหด	kʰ w aː m ˧ . h ia̯ m ˥˩ . h oː t̚ ˨˩
เฟื่องฟู	f ɯa̯ ŋ ˥˩ . f uː ˧
การสัญญา	k aː n ˧ . s a n ˩˩˦ . j aː ˧
กฐิน	k a ˨˩ . tʰ i n ˩˩˦ . n a ˦˥ .
สิ้นสุด	s i n ˥˩ . s u t̚ ˨˩
การค้าเสรี	k aː n ˧ . kʰ aː ˦˥ . s eː ˩˩˦ . r iː ˧
จำนวนตรรกยะ	t͡ɕ a m ˧ . n ua̯ n ˧ . t a k̚ ˨˩ . k a ˨˩ . j aʔ ˦˥
บัวผุด	b ua̯ ˧ . pʰ u t̚ ˨˩
อีเก้ง	ʔ iː ˧ . k eː ŋ ˥˩
คอร์นวอลล์	kʰ ɔː n ˧ . w ɔː l ˧
การเปลี่ยน	k aː n ˧ . p l ia̯ n ˨˩
ปากคำ	p aː k̚ ˨˩ . kʰ a m ˧
กระทะ	k r a ˨˩ . tʰ aʔ ˦˥
ไข้รากสาดน้อย	kʰ aj ˥˩ . r aː k̚ ˥˩ . s aː t̚ ˨˩ . n ɔːj ˦˥
มิด	m i t̚ ˦˥
องคชาต	ʔ o ŋ ˧ . kʰ a ˦˥ . t͡ɕʰ aː t̚ ˥˩
ส่วนตัว	s ua̯ n ˨˩ . t ua̯ ˧
